title=sld_calc_tests
fname,contrast,lipid,ratio,label
#
# EXAMPLE
# file_name,subphase_lipid,lipid1:lipid2,ratio1:ratio2,label_description
#
#
# lipid calculations test
#IvsQ_69776_69777,d2o_hlipid_hpolya,popc:chol,7:3,test
#IvsQ_69776_69777,d2o_hlipid_hpolya,chol,7,test
IvsQ_69776_69777,d2o_hlipid_hpolya,d45_chol,7,test
#
# --------------------------------------------------------------------------- #
# SW mc3: Interal LNP composition ISIS Feb23
#
# 0 % chol pH 3 [samples 07-12]
#IvsQ_69776_69777,d2o_hlipid,mc3,100,0% chol. h-lipid D2O pD3.45
#IvsQ_69778_69779,d2o_dlipid,d62_mc3,100,0% chol. d-lipid D2O pD3.45
#IvsQ_69780_69781,acmw_dlipid,d62_mc3,100,0% chol. d-lipid ACMW pH3.00
#
# 0 % chol pH 3 w/ polyA
#IvsQ_69786_69787,d2o_hlipid_dPolyA,mc3,100,0% chol. h-lipid D2O pD3.45 PolyA
#IvsQ_69784_69785,d2o_dlipid_dPolyA,d62_mc3,100,0% chol. d-lipid D2O pD3.45 PolyA
#IvsQ_69782_69783,acmw_dlipid_hPolyA,d62_mc3,100,0% chol. d-lipid ACMW pH3.00 PolyA
#
#
# 25 % chol pH 3 [samples 01-06]
#IvsQ_69764_69765,d2o_hlipid,mc3:chol,75:25,25% chol. h-lipid D2O pD3.45
#IvsQ_69766_69767,d2o_dlipid,d62_mc3:d45_chol,75:25,25% chol. d-lipid D2O pD3.45
#IvsQ_69768_69769,acmw_dlipid,d62_mc3:d45_chol,75:25,25% chol. d-lipid ACMW pH3.00
#
# 25 % chol pH 3 w/ polyA
#IvsQ_69774_69775,d2o_hlipid_dPolyA,mc3:chol,75:25,25% chol. h-lipid D2O pD3.45 PolyA
#IvsQ_69772_69773,d2o_dlipid_dPolyA,d62_mc3:d45_chol,75:25,25% chol. d-lipid D2O pD3.45 PolyA
#IvsQ_69770_69771,acmw_dlipid_hPolyA,d62_mc3:d45_chol,75:25,25% chol. d-lipid ACMW pH3.00 PolyA
#
#
